is_wc,home_elo,away_elo,elo_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_rate,h2h_matches,composure_diff,mentality_diff,squad_value_ratio,ca_diff,pace_diff,rank_diff,is_host,home_injured,away_injured,availability_diff,is_wc_match
-0.0029981802,-0.094876565,-0.07867217,-0.54137945,-0.058419365,0.070111774,0.066750504,0.011111842,0.039449558,-0.07012423,-0.14061593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017671588
0.0013934463,-0.027166335,-0.108254686,-1.0481474,-0.010892416,-0.15070271,-0.19264272,-0.015416381,0.030894838,0.06550767,-0.3328889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017875632
-0.018996404,0.0005172262,-0.026976237,0.4659676,0.022871485,0.022173021,0.11106731,0.06385109,-0.015597463,0.26799825,0.028085977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0077353152
0.00710239,0.0363187,-0.11415692,-0.16812007,0.06769464,0.043469053,-0.012351237,0.015397553,0.057799887,-0.07384238,0.035050392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008167415
-0.004585579,0.006318026,0.1820297,0.32306203,0.05895736,-0.054792624,0.05262296,-0.03056688,0.005692922,0.022122946,-0.009011446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00071466557
-0.0026361614,-0.06751903,-0.10457495,-0.4511804,-0.013472697,0.054458074,0.03837959,0.018791737,0.016505819,-0.074981384,0.050961565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010423547
-0.00084850984,0.035212636,0.16779363,0.6200895,-0.01857551,0.10645167,-0.13739415,0.14101993,0.05498752,0.044153545,-0.011856556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00080084556
-0.001561686,-0.011639304,-0.2747417,-0.15192232,0.15132615,-0.12141081,0.08596301,-0.046328384,0.027236016,0.006160517,0.08415936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032061525
-0.0019868156,-0.051412567,0.12033502,-0.17965841,0.03152401,0.13810569,0.00087697635,0.14071687,-0.07845312,0.025700599,-0.070962906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019637
-0.0063714124,-0.14421573,-0.037723098,0.049376916,-0.0040867915,0.025151234,-0.055096712,-0.057957474,0.011178169,0.017005287,-0.056208946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003361666
-0.00430129,0.0046957424,0.008546732,0.16721351,0.043771207,-0.024770588,-0.06430642,0.020825762,0.0045470777,0.0315179,-0.03466737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001959392
-0.0031972493,0.02732027,0.3066432,0.07543551,0.075181045,0.08458246,0.1010461,0.0038314457,0.01119106,0.051488753,0.011134882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006748678
-0.0070329662,-0.010756785,-0.093393065,0.0718538,-0.010432328,-0.021200737,-0.0067454125,-0.0706881,0.012550165,-0.055311967,0.04182871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00050849497
0.019275783,0.07938661,0.26866198,-0.42644197,-0.07515935,-0.00629568,-0.039541934,-0.12566508,0.03996123,-0.01606698,0.30208483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016386182
